Timestamp,What class are you filling out this survey for? Select all that apply.,What is your current class standing?,What is your gender?,,What is your GPA?,What is your major?,Why did you choose to major in this field? Select all that apply.,What is your favorite area of Computer Science?,,What was your first programming language?,Around what grade did you learn your first programming language?,What's your most commonly used language?,What is your reason for using that language most frequently?,How many lines of code do you write every week with this language?,What CS-related field do you prefer?,What is your least favorite part of Computer Science?
11/3/2023 15:46:21,CS105,Senior,Male,,3.0-3.5,Biochemistry,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Data Science,,,,,,,,
11/3/2023 15:49:39,CS105,Senior,Male,,3.0-3.5,Computer Science,"The topics are interesting, High salary potential, Advice from family/friends",Don't have one,,Python,9-12th grade,R,Language is simplified,50-100,Data Science,Hardware/Embedded Systems
11/3/2023 15:52:59,CS105,Senior,Male,,3.0-3.5,CS,"High salary potential, Stable future, I am passionate about the field",coding itself,,Java,6-8th grade,Python,Syntax,50-100,Data Science,Artificial Intelligence/Machine Learning
11/3/2023 15:54:31,"CS105, CS141",Junior,Female,,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Computer networks,,Python,6-8th grade,C++,Quick to construct,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 15:57:31,CS105,Senior,Male,,3.5-4.0,CSBA,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Data Structures,,Python,9-12th grade,C++,Syntax,100-200,Data Science,Data Science
11/3/2023 15:58:41,CS105,Sophomore,Male,,3.0-3.5,Data Science,"The topics are interesting, Job market is in high-demand, Transfer requirements were similar to my first choice(cs)",GameDev/Audio,,Python,9-12th grade,Java,required to learn it in school,<50,Game Development,Artificial Intelligence/Machine Learning
11/3/2023 15:59:20,CS105,Senior,Female,,3.5-4.0,Business ,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",None,,Java,College,Python,Classes,<50,Data Science,Data Science
11/3/2023 16:02:06,CS141,Senior,Male,,2.5-3.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field","Software engineering, Data Analysis",,Python,College,Python,Language is helpful with built-in functions,100-200,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 16:04:11,CS105,Graduate,Male,,3.0-3.5,Computer Science,High salary potential,"Nothing, I just want the money",,C++,9-12th grade,Python,Syntax,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 16:23:15,CS111,Junior,Male,,3.5-4.0,CS,"Job market is in high-demand, High salary potential, Stable future",The highest-paying one,,Java,9-12th grade,C++,School,100-200,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 16:31:58,CS105,Graduate,Male,,3.0-3.5,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Data Science and Machine Learning,,C,College,Python,Language is helpful with built-in functions,200-500,Data Science,Hardware/Embedded Systems
11/3/2023 16:36:27,"CS105, CS141",Junior,Male,,3.0-3.5,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future",Software development,,C++,College,C++,Syntax,<50,Game Development,Hardware/Embedded Systems
11/3/2023 16:37:14,CS141,Senior,Female,,3.0-3.5,Data Science ,"The topics are interesting, High salary potential, I am passionate about the field",,,C++,College,R,Language is helpful with built-in functions,100-200,Data Science,Game Development
11/3/2023 16:41:16,CS105,Junior,Male,,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",AI/ML,,Java,9-12th grade,C++,Quick to construct,50-100,Artificial Intelligence/Machine Learning,Debugging
11/3/2023 16:54:27,CS111,Junior,Female,,3.5-4.0,Computer Science,"The topics are interesting, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",AI/Cybersecurity,,Java,6-8th grade,C++,School,100-200,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 17:01:31,CS141,Senior,Non-Binary,,3.5-4.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends, Bioinformatics isn't offered at UCR",Bioinformatics,,C++,College,Python,Mandatory for classes this quarter,50-100,Data Science,Algorithms
11/3/2023 17:02:17,CS105,Sophomore,Male,,3.5-4.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Artificial Intelligence,,Java,9-12th grade,C++,Language is helpful with built-in functions,100-200,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 17:02:59,CS105,Sophomore,Male,,3.0-3.5,CS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future",Web development ,,,,,,,,
11/3/2023 17:09:05,CS105,Junior,Male,,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Low Level Languages and Algorithms,,C++,9-12th grade,C++,School,100-200,Hardware/Embedded Systems,Data Science
11/3/2023 17:11:02,CS105,Senior,Male,,3.0-3.5,Encs,"I am passionate about the field, Always knew I want this",Design,,C++,,Python,,,Hardware/Embedded Systems,Data Science
11/3/2023 17:16:12,CS141,Senior,Female,,3.0-3.5,CS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",,,Java,9-12th grade,C++,Syntax,<50,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 17:26:55,CS141,Senior,Male,,3.0-3.5,Computer Engineering,"The topics are interesting, Job market is in high-demand, Stable future, I am passionate about the field",Embedded Systems,,X86 Assembly,College,C++,Its what I use the most in my personal embedded systems projects,<50,Hardware/Embedded Systems,Data Science
11/3/2023 17:32:23,CS105,Junior,Male,,3.5-4.0,CS,"The topics are interesting, Job market is in high-demand, High salary potential",Video game creation,,C++,1st-5th grade,C++,Quick to construct,100-200,Hardware/Embedded Systems,Artificial Intelligence/Machine Learning
11/3/2023 17:50:18,CS105,Senior,Male,,3.0-3.5,Computer Science,"High salary potential, Stable future, I am passionate about the field",Embedded Systems,,Java,9-12th grade,Python,Many of my classes use it,100-200,Hardware/Embedded Systems,Data Science
11/3/2023 17:52:41,"CS105, CS111",Junior,Male,,2.5-3.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Data Analysis,,Java,9-12th grade,C++,Syntax,<50,Data Science,Hardware/Embedded Systems
11/3/2023 17:53:17,CS105,Sophomore,Male,,3.5-4.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Machine learning and Ai,,C++,6-8th grade,Python,Syntax,<50,Data Science,Hardware/Embedded Systems
11/3/2023 18:01:13,CS105,Junior,Male,,3.5-4.0,Data Science,"The topics are interesting, High salary potential, Stable future, I am passionate about the field",Working with integers and indexing,,Python,College,Python,Language is helpful with built-in functions,50-100,No preference,Hardware/Embedded Systems
11/3/2023 18:16:13,CS105,Senior,Female,,2.5-3.0,data science ,"High salary potential, Stable future, Advice from family/friends",,,C++,College,C++,Language is simplified,200-500,Data Science,Artificial Intelligence/Machine Learning
11/3/2023 19:00:47,CS105,Senior,Non-Binary,,3.0-3.5,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends",data science,,C++,College,R,It's what I'm most familiar with,<50,Data Science,Software Development
11/3/2023 19:29:24,CS105,Junior,Male,,3.0-3.5,CS,"The topics are interesting, I am passionate about the field",Software Engineering,,Swift,9-12th grade,Swift,Language is simplified,50-100,Hardware/Embedded Systems,Data Science
11/3/2023 20:10:15,CS105,Junior,Male,,3.0-3.5,Data Science ,"The topics are interesting, Stable future, Challenging ",Coding projects ,,C++,College,C++,Syntax,<50,Data Science,Hardware/Embedded Systems
11/3/2023 20:11:05,CS141,Senior,Male,,2.5-3.0,CSBA,"The topics are interesting, High salary potential, I am passionate about the field",ML and AI,,C++,College,Python,Language is helpful with built-in functions,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 20:47:54,CS105,Graduate,Male,,3.5-4.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends, Pressure from family/friends",Machine Learning,,Python,9-12th grade,R,Language is simplified,50-100,Data Science,Hardware/Embedded Systems
11/3/2023 21:14:59,CS111,Senior,Female,,3.0-3.5,Data Science,"Job market is in high-demand, High salary potential",,,C++,College,C++,Language is simplified,<50,Game Development,Hardware/Embedded Systems
11/3/2023 21:41:46,CS105,Junior,Female,,3.0-3.5,CSBA,"Job market is in high-demand, High salary potential, Stable future",,,C++,College,C++,Language is simplified,<50,Data Science,Hardware/Embedded Systems
11/3/2023 21:42:49,CS105,Senior,Female,,3.5-4.0,Computer Science BS,"The topics are interesting, Stable future, I am passionate about the field",AI,,Python,9-12th grade,Python,Quick to construct,<50,Artificial Intelligence/Machine Learning,Artificial Intelligence/Machine Learning
11/3/2023 22:12:07,CS105,Junior,Female,,3.5-4.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential",data science and computer programming,,C++,College,C++,so far I've used c++ the most for my classes at college,<50,Data Science,Hardware/Embedded Systems
11/4/2023 0:43:21,CS141,Senior,Other,,3.5-4.0,Computer Science,"I am passionate about the field, Advice from family/friends","Networks, Concurrency",,Javascript,1st-5th grade,C++,It is fast,200-500,Hardware/Embedded Systems,Game Development
11/4/2023 0:50:23,"CS105, CS141",Junior,Non-Binary,,3.0-3.5,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Not sure,,C++,College,Python,Quick to construct,<50,Game Development,Hardware/Embedded Systems
11/4/2023 0:58:20,CS105,Sophomore,Female,,3.5-4.0,DTSE,"Job market is in high-demand, High salary potential",Programming,,Java,9-12th grade,Python,Classes,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/4/2023 10:55:11,CS141,Junior,Male,,3.5-4.0,Data Science,"The topics are interesting, I am passionate about the field",Machine Learning,,Python,6-8th grade,Python,Quick to construct,50-100,Data Science,Hardware/Embedded Systems
11/4/2023 11:30:37,CS105,Senior,Male,,3.5-4.0,neuroscience,"The topics are interesting, I am passionate about the field",AI,,Python,College,Python,Language is simplified,<50,Data Science,Hardware/Embedded Systems
11/4/2023 12:36:07,CS111,Junior,Female,,3.5-4.0,Computer science with business applications ,"Job market is in high-demand, High salary potential, Stable future",Problem solving,,C++,College,C++,School requirements ,<50,Game Development,Artificial Intelligence/Machine Learning
11/4/2023 13:02:28,"CS105, CS111",Sophomore,Male,,3.5-4.0,Data Science,"The topics are interesting, High salary potential, Stable future, I am passionate about the field",Machine Learning,,C++,6-8th grade,C++,Language is helpful with built-in functions,<50,Data Science,Data Science
11/4/2023 13:13:06,CS105,Junior,Female,,3.5-4.0,data science,High salary potential,ai,,C++,College,Python,Language is simplified,<50,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/4/2023 15:22:26,CS105,Graduate,Female,,3.5-4.0,CS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends",AI,,C++,College,C++,Language is helpful with built-in functions,50-100,Artificial Intelligence/Machine Learning,Data Science
11/4/2023 20:42:58,CS105,Junior,Male,,3.0-3.5,computer science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future",ml/cs,,Python,9-12th grade,C++,language that is used most in school work,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/4/2023 22:19:50,CS105,Graduate,Male,,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Artificial Intelligence,,C++,9-12th grade,Python,Language is simplified,500+,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/5/2023 8:54:27,CS105,Senior,Male,,3.5-4.0,Computer Science,"The topics are interesting, High salary potential, I am passionate about the field",Game Development,,C,College,C#,Language is helpful with built-in functions,500+,Game Development,Hardware/Embedded Systems
11/5/2023 11:38:27,CS105,Senior,Male,,3.0-3.5,CSBA,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Data/Databases or Project Management,,C++,College,C++,Syntax,50-100,Data Science,Artificial Intelligence/Machine Learning
11/5/2023 13:04:15,CS105,Senior,Male,,3.5-4.0,Computer Science with Business Applications,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends, Pressure from family/friends",Problem Solving,,Java,9-12th grade,C++,Quick to construct,<50,Data Science,Hardware/Embedded Systems
11/5/2023 13:14:24,CS105,Junior,Male,,3.5-4.0,Data Science ,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",,,C++,College,C++,Required for classes,50-100,Data Science,Hardware/Embedded Systems
11/5/2023 13:43:57,CS105,Graduate,Male,,3.0-3.5,Computer Engineering,"The topics are interesting, High salary potential, I am passionate about the field",Software Development,,C++,9-12th grade,Python,Quick to construct,200-500,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/5/2023 14:45:12,CS105,Senior,Male,,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends",Natural Language Processing,,Java,1st-5th grade,Python,all of tyhe above,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/5/2023 16:32:27,CS105,Junior,Female,,3.0-3.5,Data Science ,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends",computer programming ,,Java,9-12th grade,C++,Syntax,50-100,Game Development,Artificial Intelligence/Machine Learning
11/5/2023 21:58:01,CS105,Senior,Male,,2.5-3.0,Computer Science with Business Applications,"The topics are interesting, Advice from family/friends, Pressure from family/friends","Logic and problem solving, also the possibility of a creative outlet",,C++,9-12th grade,C++,First language learned and applied in UCR,<50,Artificial Intelligence/Machine Learning,Data Science
11/5/2023 22:18:40,CS105,Senior,Male,,3.5-4.0,CS,High salary potential,Software Construction,,,,,,,,
11/6/2023 10:23:39,CS105,Graduate,Female,,3.0-3.5,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field","Data Science, Generative AI",,Java,9-12th grade,Python,Language is simplified,200-500,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/6/2023 14:35:01,CS105,Senior,Female,,3.0-3.5,Computer Science,Flexible field,Front-end,,C++,College,C++,Syntax,<50,Data Science,Hardware/Embedded Systems
11/6/2023 15:09:14,CS105,Senior,Male,,3.0-3.5,Biology,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field, Advice from family/friends",Object Oriented Programming,,C++,9-12th grade,C++,Language is simplified,<50,Data Science,Hardware/Embedded Systems
11/6/2023 18:23:09,CS105,Graduate,Male,,3.5-4.0,Computer Science,"The topics are interesting, I am passionate about the field",Machine Learning,,C++,9-12th grade,Python,Language is helpful with built-in functions,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/6/2023 20:48:19,CS105,Senior,Male,,3.5-4.0,Computer Science w/ Business Applications,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends, Pressure from family/friends",AI,,Java,9-12th grade,Python,Language is simplified,<50,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/7/2023 0:59:17,CS141,Senior,Male,,3.5-4.0,Mathematics,"The topics are interesting, I am passionate about the field",Theoretical Computer Science,,C++,6-8th grade,Python,Quick to construct,<50,Theoretical Computer Science,Hardware/Embedded Systems
11/7/2023 1:05:28,CS105,Junior,Male,,3.0-3.5,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends, Pressure from family/friends",software development,,Java,9-12th grade,C++,Syntax,<50,Game Development,Hardware/Embedded Systems
11/7/2023 10:58:30,CS105,Senior,Male,,3.0-3.5,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Machine Learning,,C++,College,C++,Quick to construct,<50,Data Science,Game Development
11/7/2023 14:17:06,"CS105, CS111, CS141",Senior,Male,,3.0-3.5,computer science,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field","Algorithms and Data structures, Machine learning.",,C++,College,Python,Language is simplified,200-500,Artificial Intelligence/Machine Learning,Game Development
11/7/2023 14:33:13,CS105,Senior,Female,,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand",Artificial Intelligence ,,C#,College,C++,Language is simplified,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/7/2023 14:52:18,CS105,Junior,Male,,3.0-3.5,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends",,,C++,College,C++,For my class,100-200,Data Science,Hardware/Embedded Systems
11/7/2023 14:55:51,CS105,Junior,Male,,2.5-3.0,Data science ,"Job market is in high-demand, High salary potential, Stable future, Advice from family/friends, Pressure from family/friends",The salary ,,Python,9-12th grade,C++,Quick to construct,200-500,Data Science,Data Science
11/7/2023 15:32:48,"CS105, CS141",Junior,Male,,3.0-3.5,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Micro controllers,,C++,College,C++,I feel better than others ,<50,Hardware/Embedded Systems,Artificial Intelligence/Machine Learning
11/7/2023 15:52:35,CS105,Senior,Male,,2.5-3.0,Data Science,"The topics are interesting, High salary potential, Stable future, I am passionate about the field",Data Organization,,C++,College,C++,Language is helpful with built-in functions,50-100,Data Science,Artificial Intelligence/Machine Learning
11/7/2023 16:18:05,CS105,Junior,Male,,3.0-3.5,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Machine Learning,,Java,9-12th grade,C++,Syntax,<50,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/7/2023 16:32:27,CS105,Senior,Male,,3.0-3.5,CSBA,"High salary potential, Stable future",AI,,C++,College,Python,Language is simplified,100-200,Data Science,Hardware/Embedded Systems
11/7/2023 16:33:58,CS105,Junior,Male,,3.0-3.5,Computer Science ,"High salary potential, I am passionate about the field",Algorithms ,,Javascript ,9-12th grade,C++,Language is helpful with built-in functions,200-500,"AI, SE",Hardware/Embedded Systems
11/7/2023 17:07:33,CS105,Junior,Male,,3.0-3.5,Data Science CNAS,"The topics are interesting, High salary potential, Stable future, I am passionate about the field",Data Analysis,,C++,College,R,Classes I take use R the most,100-200,Data Science,Hardware/Embedded Systems
11/7/2023 17:09:58,EE,Senior,Male,,2.0-2.5,Telecommunications engineering,The topics are interesting,Machine learning,,C#,6-8th grade,Python,Language is simplified,<50,Game Development,Hardware/Embedded Systems
11/7/2023 17:27:21,"CS105, CS111",Junior,Female,,3.5-4.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",,,Python,College,Python,Language is simplified,<50,Data Science,Hardware/Embedded Systems
11/7/2023 17:39:01,"CS105, CS111",Junior,Female,,3.0-3.5,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",The coding aspect of Computer Science is fun for me,,Python,9-12th grade,Python,Quick to construct,<50,Data Science,Data Science
11/7/2023 17:47:33,"CS105, CS141",Junior,Male,,3.5-4.0,Data Science,"High salary potential, Advice from family/friends",,,Python,9-12th grade,C++,School,<50,Game Development,Hardware/Embedded Systems
11/7/2023 18:14:44,CS105,Senior,Female,,2.5-3.0,Computer Science,"High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Software ,,Java,9-12th grade,C++,Language is helpful with built-in functions,50-100,Game Development,Hardware/Embedded Systems
11/7/2023 18:47:24,CS141,Junior,Male,,3.5-4.0,ENCS,"The topics are interesting, High salary potential, Stable future, I am passionate about the field",Problem Solving,,C++,9-12th grade,Lua ,Familiarity and platform,500+,Game Development,Hardware/Embedded Systems
11/7/2023 18:50:01,CS141,Sophomore,Female,,3.5-4.0,CS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",idk,,Python,9-12th grade,js,Language is helpful with built-in functions,200-500,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/7/2023 19:14:21,CS141,Senior,Male,,3.5-4.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Machine learning,,Scheme,9-12th grade,R,Language is helpful with built-in functions,50-100,Data Science,Data structures and algorithms/software
11/7/2023 19:16:34,CS105,Senior,Male,,3.0-3.5,CSBA,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future",Algorithms,,C++,9-12th grade,C++,Syntax,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/7/2023 22:03:16,"CS105, CS111",Junior,Male,,2.5-3.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential",Coding,,C++,College,Python,Language is simplified,50-100,Data Science,Hardware/Embedded Systems
11/8/2023 0:26:22,CS105,Junior,Male,,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",machine learning,,Javascript,1st-5th grade,C++,Language is helpful with built-in functions,50-100,Artificial Intelligence/Machine Learning,Data Science
11/8/2023 9:23:20,CS111,Junior,Female,,3.0-3.5,CSBA,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Operating Systems,,C++,College,C++,Language is helpful with built-in functions,<50,Artificial Intelligence/Machine Learning,Game Development
11/8/2023 14:12:25,CS105,Junior,Male,,3.0-3.5,Data Science,Stable future,Not sure,,C++,College,C++,Curriculum,<50,Data Science,Artificial Intelligence/Machine Learning
