Timestamp,What class are you filling out this survey for? Select all that apply.,What is your current class standing?,What is your gender?,What is your GPA?,Why did you choose to major in this field? Select all that apply.,What is your favorite area of Computer Science?,"How many Computer Science related events (e.g., hackathons, programming competitions, etc.) have you been to since Fall 2022? ",What's your most commonly used language?,What CS-related field do you prefer?,What is your least favorite part of Computer Science?
11/3/2023 15:46:21,CS105,Senior,Male,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Data Science,1-3,,,
11/3/2023 15:49:39,CS105,Senior,Male,3.0-3.5,"The topics are interesting, High salary potential, Advice from family/friends",Don't have one,0,R,Data Science,Hardware/Embedded Systems
11/3/2023 15:52:59,CS105,Senior,Male,3.0-3.5,"High salary potential, Stable future, I am passionate about the field",coding itself,0,Python,Data Science,Artificial Intelligence/Machine Learning
11/3/2023 15:54:31,"CS105, CS141",Junior,Female,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Computer networks,1-3,C++,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 15:57:31,CS105,Senior,Male,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Data Structures,1-3,C++,Data Science,Data Science
11/3/2023 15:58:41,CS105,Sophomore,Male,3.0-3.5,"The topics are interesting, Job market is in high-demand, Transfer requirements were similar to my first choice(cs)",GameDev/Audio,0,Java,Game Development,Artificial Intelligence/Machine Learning
11/3/2023 15:59:20,CS105,Senior,Female,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",None,0,Python,Data Science,Data Science
11/3/2023 16:02:06,CS141,Senior,Male,2.5-3.0,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field","Software engineering, Data Analysis",0,Python,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 16:04:11,CS105,Graduate,Male,3.0-3.5,High salary potential,"Nothing, I just want the money",0,Python,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 16:23:15,CS111,Junior,Male,3.5-4.0,"Job market is in high-demand, High salary potential, Stable future",The highest-paying one,3-5,C++,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 16:31:58,CS105,Graduate,Male,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Data Science and Machine Learning,0,Python,Data Science,Hardware/Embedded Systems
11/3/2023 16:36:27,"CS105, CS141",Junior,Male,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future",Software development,1-3,C++,Game Development,Hardware/Embedded Systems
11/3/2023 16:37:14,CS141,Senior,Female,3.0-3.5,"The topics are interesting, High salary potential, I am passionate about the field",,0,R,Data Science,Game Development
11/3/2023 16:41:16,CS105,Junior,Male,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",AI/ML,1-3,C++,Artificial Intelligence/Machine Learning,Debugging
11/3/2023 16:54:27,CS111,Junior,Female,3.5-4.0,"The topics are interesting, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",AI/Cybersecurity,1-3,C++,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 17:01:31,CS141,Senior,Non-Binary,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends, Bioinformatics isn't offered at UCR",Bioinformatics,0,Python,Data Science,Algorithms
11/3/2023 17:02:17,CS105,Sophomore,Male,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Artificial Intelligence,1-3,C++,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 17:02:59,CS105,Sophomore,Male,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future",Web development ,1-3,,,
11/3/2023 17:09:05,CS105,Junior,Male,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Low Level Languages and Algorithms,1-3,C++,Hardware/Embedded Systems,Data Science
11/3/2023 17:11:02,CS105,Senior,Male,3.0-3.5,"I am passionate about the field, Always knew I want this",Design,0,Python,Hardware/Embedded Systems,Data Science
11/3/2023 17:16:12,CS141,Senior,Female,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",,1-3,C++,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 17:26:55,CS141,Senior,Male,3.0-3.5,"The topics are interesting, Job market is in high-demand, Stable future, I am passionate about the field",Embedded Systems,0,C++,Hardware/Embedded Systems,Data Science
11/3/2023 17:32:23,CS105,Junior,Male,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential",Video game creation,1-3,C++,Hardware/Embedded Systems,Artificial Intelligence/Machine Learning
11/3/2023 17:50:18,CS105,Senior,Male,3.0-3.5,"High salary potential, Stable future, I am passionate about the field",Embedded Systems,0,Python,Hardware/Embedded Systems,Data Science
11/3/2023 17:52:41,"CS105, CS111",Junior,Male,2.5-3.0,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Data Analysis,1-3,C++,Data Science,Hardware/Embedded Systems
11/3/2023 17:53:17,CS105,Sophomore,Male,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Machine learning and Ai,0,Python,Data Science,Hardware/Embedded Systems
11/3/2023 18:01:13,CS105,Junior,Male,3.5-4.0,"The topics are interesting, High salary potential, Stable future, I am passionate about the field",Working with integers and indexing,1-3,Python,No preference,Hardware/Embedded Systems
11/3/2023 18:16:13,CS105,Senior,Female,2.5-3.0,"High salary potential, Stable future, Advice from family/friends",,0,C++,Data Science,Artificial Intelligence/Machine Learning
11/3/2023 19:00:47,CS105,Senior,Non-Binary,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends",data science,1-3,R,Data Science,Software Development
11/3/2023 19:07:51,,,,,,,,,,
11/3/2023 19:29:24,CS105,Junior,Male,3.0-3.5,"The topics are interesting, I am passionate about the field",Software Engineering,1-3,Swift,Hardware/Embedded Systems,Data Science
11/3/2023 20:10:15,CS105,Junior,Male,3.0-3.5,"The topics are interesting, Stable future, Challenging ",Coding projects ,0,C++,Data Science,Hardware/Embedded Systems
11/3/2023 20:11:05,CS141,Senior,Male,2.5-3.0,"The topics are interesting, High salary potential, I am passionate about the field",ML and AI,0,Python,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 20:47:54,CS105,Graduate,Male,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends, Pressure from family/friends",Machine Learning,0,R,Data Science,Hardware/Embedded Systems
11/3/2023 21:14:59,CS111,Senior,Female,3.0-3.5,"Job market is in high-demand, High salary potential",,0,C++,Game Development,Hardware/Embedded Systems
11/3/2023 21:41:46,CS105,Junior,Female,3.0-3.5,"Job market is in high-demand, High salary potential, Stable future",,1-3,C++,Data Science,Hardware/Embedded Systems
11/3/2023 21:42:49,CS105,Senior,Female,3.5-4.0,"The topics are interesting, Stable future, I am passionate about the field",AI,0,Python,Artificial Intelligence/Machine Learning,Artificial Intelligence/Machine Learning
11/3/2023 22:12:07,CS105,Junior,Female,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential",data science and computer programming,0,C++,Data Science,Hardware/Embedded Systems
11/4/2023 0:43:21,CS141,Senior,Other,3.5-4.0,"I am passionate about the field, Advice from family/friends","Networks, Concurrency",1-3,C++,Hardware/Embedded Systems,Game Development
11/4/2023 0:50:23,"CS105, CS141",Junior,Non-Binary,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Not sure,1-3,Python,Game Development,Hardware/Embedded Systems
11/4/2023 0:58:20,CS105,Sophomore,Female,3.5-4.0,"Job market is in high-demand, High salary potential",Programming,1-3,Python,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/4/2023 10:55:11,CS141,Junior,Male,3.5-4.0,"The topics are interesting, I am passionate about the field",Machine Learning,0,Python,Data Science,Hardware/Embedded Systems
11/4/2023 11:30:37,CS105,Senior,Male,3.5-4.0,"The topics are interesting, I am passionate about the field",AI,0,Python,Data Science,Hardware/Embedded Systems
11/4/2023 12:36:07,CS111,Junior,Female,3.5-4.0,"Job market is in high-demand, High salary potential, Stable future",Problem solving,0,C++,Game Development,Artificial Intelligence/Machine Learning
11/4/2023 13:02:28,"CS105, CS111",Sophomore,Male,3.5-4.0,"The topics are interesting, High salary potential, Stable future, I am passionate about the field",Machine Learning,0,C++,Data Science,Data Science
11/4/2023 13:13:06,CS105,Junior,Female,3.5-4.0,High salary potential,ai,0,Python,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/4/2023 15:22:26,CS105,Graduate,Female,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends",AI,0,C++,Artificial Intelligence/Machine Learning,Data Science
11/4/2023 20:42:58,CS105,Junior,Male,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future",ml/cs,3-5,C++,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/4/2023 22:19:50,CS105,Graduate,Male,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Artificial Intelligence,0,Python,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/5/2023 8:54:27,CS105,Senior,Male,3.5-4.0,"The topics are interesting, High salary potential, I am passionate about the field",Game Development,0,C#,Game Development,Hardware/Embedded Systems
11/5/2023 11:38:27,CS105,Senior,Male,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Data/Databases or Project Management,0,C++,Data Science,Artificial Intelligence/Machine Learning
11/5/2023 13:04:15,CS105,Senior,Male,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends, Pressure from family/friends",Problem Solving,1-3,C++,Data Science,Hardware/Embedded Systems
11/5/2023 13:14:24,CS105,Junior,Male,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",,0,C++,Data Science,Hardware/Embedded Systems
11/5/2023 13:43:57,CS105,Graduate,Male,3.0-3.5,"The topics are interesting, High salary potential, I am passionate about the field",Software Development,0,Python,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/5/2023 14:45:12,CS105,Senior,Male,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends",Natural Language Processing,1-3,Python,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/5/2023 16:32:27,CS105,Junior,Female,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends",computer programming ,1-3,C++,Game Development,Artificial Intelligence/Machine Learning
11/5/2023 21:58:01,CS105,Senior,Male,2.5-3.0,"The topics are interesting, Advice from family/friends, Pressure from family/friends","Logic and problem solving, also the possibility of a creative outlet",1-3,C++,Artificial Intelligence/Machine Learning,Data Science
11/5/2023 22:18:40,CS105,Senior,Male,3.5-4.0,High salary potential,Software Construction,3-5,,,
11/6/2023 10:23:39,CS105,Graduate,Female,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field","Data Science, Generative AI",0,Python,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/6/2023 14:35:01,CS105,Senior,Female,3.0-3.5,Flexible field,Front-end,1-3,C++,Data Science,Hardware/Embedded Systems
11/6/2023 15:09:14,CS105,Senior,Male,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field, Advice from family/friends",Object Oriented Programming,0,C++,Data Science,Hardware/Embedded Systems
11/6/2023 18:23:09,CS105,Graduate,Male,3.5-4.0,"The topics are interesting, I am passionate about the field",Machine Learning,0,Python,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/6/2023 20:48:19,CS105,Senior,Male,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends, Pressure from family/friends",AI,0,Python,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/7/2023 0:59:17,CS141,Senior,Male,3.5-4.0,"The topics are interesting, I am passionate about the field",Theoretical Computer Science,1-3,Python,Theoretical Computer Science,Hardware/Embedded Systems
11/7/2023 1:05:28,CS105,Junior,Male,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends, Pressure from family/friends",software development,1-3,C++,Game Development,Hardware/Embedded Systems
11/7/2023 10:58:30,CS105,Senior,Male,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Machine Learning,0,C++,Data Science,Game Development
11/7/2023 14:17:06,"CS105, CS111, CS141",Senior,Male,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field","Algorithms and Data structures, Machine learning.",0,Python,Artificial Intelligence/Machine Learning,Game Development
11/7/2023 14:33:13,CS105,Senior,Female,3.5-4.0,"The topics are interesting, Job market is in high-demand",Artificial Intelligence ,3-5,C++,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/7/2023 14:52:18,CS105,Junior,Male,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends",,0,C++,Data Science,Hardware/Embedded Systems
11/7/2023 14:55:51,CS105,Junior,Male,2.5-3.0,"Job market is in high-demand, High salary potential, Stable future, Advice from family/friends, Pressure from family/friends",The salary ,1-3,C++,Data Science,Data Science
11/7/2023 15:32:48,"CS105, CS141",Junior,Male,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Micro controllers,1-3,C++,Hardware/Embedded Systems,Artificial Intelligence/Machine Learning
11/7/2023 15:52:35,CS105,Senior,Male,2.5-3.0,"The topics are interesting, High salary potential, Stable future, I am passionate about the field",Data Organization,0,C++,Data Science,Artificial Intelligence/Machine Learning
11/7/2023 16:18:05,CS105,Junior,Male,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Machine Learning,0,C++,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/7/2023 16:32:27,CS105,Senior,Male,3.0-3.5,"High salary potential, Stable future",AI,1-3,Python,Data Science,Hardware/Embedded Systems
11/7/2023 16:33:58,CS105,Junior,Male,3.0-3.5,"High salary potential, I am passionate about the field",Algorithms ,3-5,C++,"AI, SE",Hardware/Embedded Systems
11/7/2023 17:07:33,CS105,Junior,Male,3.0-3.5,"The topics are interesting, High salary potential, Stable future, I am passionate about the field",Data Analysis,0,R,Data Science,Hardware/Embedded Systems
11/7/2023 17:09:58,EE,Senior,Male,2.0-2.5,The topics are interesting,Machine learning,0,Python,Game Development,Hardware/Embedded Systems
11/7/2023 17:11:08,,,,,,,,,,
11/7/2023 17:27:21,"CS105, CS111",Junior,Female,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",,0,Python,Data Science,Hardware/Embedded Systems
11/7/2023 17:39:01,"CS105, CS111",Junior,Female,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",The coding aspect of Computer Science is fun for me,1-3,Python,Data Science,Data Science
11/7/2023 17:47:33,"CS105, CS141",Junior,Male,3.5-4.0,"High salary potential, Advice from family/friends",,0,C++,Game Development,Hardware/Embedded Systems
11/7/2023 18:14:44,CS105,Senior,Female,2.5-3.0,"High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Software ,1-3,C++,Game Development,Hardware/Embedded Systems
11/7/2023 18:47:24,CS141,Junior,Male,3.5-4.0,"The topics are interesting, High salary potential, Stable future, I am passionate about the field",Problem Solving,3-5,Lua ,Game Development,Hardware/Embedded Systems
11/7/2023 18:50:01,CS141,Sophomore,Female,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",idk,3-5,js,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/7/2023 19:14:21,CS141,Senior,Male,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Machine learning,0,R,Data Science,Data structures and algorithms/software
11/7/2023 19:16:34,CS105,Senior,Male,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future",Algorithms,0,C++,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/7/2023 22:03:16,"CS105, CS111",Junior,Male,2.5-3.0,"The topics are interesting, Job market is in high-demand, High salary potential",Coding,0,Python,Data Science,Hardware/Embedded Systems
11/8/2023 0:26:22,CS105,Junior,Male,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",machine learning,3-5,C++,Artificial Intelligence/Machine Learning,Data Science
11/8/2023 9:23:20,CS111,Junior,Female,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Operating Systems,0,C++,Artificial Intelligence/Machine Learning,Game Development
11/8/2023 14:12:25,CS105,Junior,Male,3.0-3.5,Stable future,Not sure,0,C++,Data Science,Artificial Intelligence/Machine Learning
