Class,class_standing,gender,gpa,major,major_reason,favorite_area,first_language,first_language_grade,most_used_language,most_used_language_reason,loc_per_week,preferred_field,least_favorite_subject
CS141,Senior,Male,3.0-3.5,Computer Engineering,"The topics are interesting, Job market is in high-demand, Stable future, I am passionate about the field",Embedded Systems,X86 Assembly,College,C++,Its what I use the most in my personal embedded systems projects,<50,Hardware/Embedded Systems,Data Science
CS105,Junior,Male,3.5-4.0,CS,"The topics are interesting, Job market is in high-demand, High salary potential",Video game creation,C++,1st-5th grade,C++,Quick to construct,100-200,Hardware/Embedded Systems,Artificial Intelligence/Machine Learning
CS105,Senior,Male,3.0-3.5,Computer Science,"High salary potential, Stable future, I am passionate about the field",Embedded Systems,Java,9-12th grade,Python,Many of my classes use it,100-200,Hardware/Embedded Systems,Data Science
"CS105, CS111",Junior,Male,2.5-3.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Data Analysis,Java,9-12th grade,C++,Syntax,<50,Data Science,Hardware/Embedded Systems
CS105,Sophomore,Male,3.5-4.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Machine learning and Ai,C++,6-8th grade,Python,Syntax,<50,Data Science,Hardware/Embedded Systems
CS105,Junior,Male,3.5-4.0,Data Science,"The topics are interesting, High salary potential, Stable future, I am passionate about the field",Working with integers and indexing,Python,College,Python,Language is helpful with built-in functions,50-100,No preference,Hardware/Embedded Systems
CS105,Senior,Female,2.5-3.0,data science ,"High salary potential, Stable future, Advice from family/friends",,C++,College,C++,Language is simplified,200-500,Data Science,Artificial Intelligence/Machine Learning
CS105,Senior,Non-Binary,3.0-3.5,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends",data science,C++,College,R,It's what I'm most familiar with,<50,Data Science,Software Development
,,,,,,,,,,,,,
CS105,Junior,Male,3.0-3.5,CS,"The topics are interesting, I am passionate about the field",Software Engineering,Swift,9-12th grade,Swift,Language is simplified,50-100,Hardware/Embedded Systems,Data Science
CS105,Junior,Male,3.0-3.5,Data Science ,"The topics are interesting, Stable future, Challenging ",Coding projects ,C++,College,C++,Syntax,<50,Data Science,Hardware/Embedded Systems
CS141,Senior,Male,2.5-3.0,CSBA,"The topics are interesting, High salary potential, I am passionate about the field",ML and AI,C++,College,Python,Language is helpful with built-in functions,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Graduate,Male,3.5-4.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends, Pressure from family/friends",Machine Learning,Python,9-12th grade,R,Language is simplified,50-100,Data Science,Hardware/Embedded Systems
CS111,Senior,Female,3.0-3.5,Data Science,"Job market is in high-demand, High salary potential",,C++,College,C++,Language is simplified,<50,Game Development,Hardware/Embedded Systems
CS105,Junior,Female,3.0-3.5,CSBA,"Job market is in high-demand, High salary potential, Stable future",,C++,College,C++,Language is simplified,<50,Data Science,Hardware/Embedded Systems
CS105,Senior,Female,3.5-4.0,Computer Science BS,"The topics are interesting, Stable future, I am passionate about the field",AI,Python,9-12th grade,Python,Quick to construct,<50,Artificial Intelligence/Machine Learning,Artificial Intelligence/Machine Learning
CS105,Junior,Female,3.5-4.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential",data science and computer programming,C++,College,C++,so far I've used c++ the most for my classes at college,<50,Data Science,Hardware/Embedded Systems
CS141,Senior,Other,3.5-4.0,Computer Science,"I am passionate about the field, Advice from family/friends","Networks, Concurrency",Javascript,1st-5th grade,C++,It is fast,200-500,Hardware/Embedded Systems,Game Development
"CS105, CS141",Junior,Non-Binary,3.0-3.5,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Not sure,C++,College,Python,Quick to construct,<50,Game Development,Hardware/Embedded Systems
CS105,Sophomore,Female,3.5-4.0,DTSE,"Job market is in high-demand, High salary potential",Programming,Java,9-12th grade,Python,Classes,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS141,Junior,Male,3.5-4.0,Data Science,"The topics are interesting, I am passionate about the field",Machine Learning,Python,6-8th grade,Python,Quick to construct,50-100,Data Science,Hardware/Embedded Systems
CS105,Senior,Male,3.5-4.0,neuroscience,"The topics are interesting, I am passionate about the field",AI,Python,College,Python,Language is simplified,<50,Data Science,Hardware/Embedded Systems
CS111,Junior,Female,3.5-4.0,Computer science with business applications ,"Job market is in high-demand, High salary potential, Stable future",Problem solving,C++,College,C++,School requirements ,<50,Game Development,Artificial Intelligence/Machine Learning
"CS105, CS111",Sophomore,Male,3.5-4.0,Data Science,"The topics are interesting, High salary potential, Stable future, I am passionate about the field",Machine Learning,C++,6-8th grade,C++,Language is helpful with built-in functions,<50,Data Science,Data Science
CS105,Junior,Female,3.5-4.0,data science,High salary potential,ai,C++,College,Python,Language is simplified,<50,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Graduate,Female,3.5-4.0,CS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends",AI,C++,College,C++,Language is helpful with built-in functions,50-100,Artificial Intelligence/Machine Learning,Data Science
CS105,Junior,Male,3.0-3.5,computer science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future",ml/cs,Python,9-12th grade,C++,language that is used most in school work,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Graduate,Male,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Artificial Intelligence,C++,9-12th grade,Python,Language is simplified,500+,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Senior,Male,3.5-4.0,Computer Science,"The topics are interesting, High salary potential, I am passionate about the field",Game Development,C,College,C#,Language is helpful with built-in functions,500+,Game Development,Hardware/Embedded Systems
CS105,Senior,Male,3.0-3.5,CSBA,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Data/Databases or Project Management,C++,College,C++,Syntax,50-100,Data Science,Artificial Intelligence/Machine Learning
CS105,Senior,Male,3.5-4.0,Computer Science with Business Applications,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends, Pressure from family/friends",Problem Solving,Java,9-12th grade,C++,Quick to construct,<50,Data Science,Hardware/Embedded Systems
CS105,Junior,Male,3.5-4.0,Data Science ,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",,C++,College,C++,Required for classes,50-100,Data Science,Hardware/Embedded Systems
CS105,Graduate,Male,3.0-3.5,Computer Engineering,"The topics are interesting, High salary potential, I am passionate about the field",Software Development,C++,9-12th grade,Python,Quick to construct,200-500,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Senior,Male,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends",Natural Language Processing,Java,1st-5th grade,Python,all of tyhe above,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Junior,Female,3.0-3.5,Data Science ,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends",computer programming ,Java,9-12th grade,C++,Syntax,50-100,Game Development,Artificial Intelligence/Machine Learning
CS105,Senior,Male,2.5-3.0,Computer Science with Business Applications,"The topics are interesting, Advice from family/friends, Pressure from family/friends","Logic and problem solving, also the possibility of a creative outlet",C++,9-12th grade,C++,First language learned and applied in UCR,<50,Artificial Intelligence/Machine Learning,Data Science
CS105,Senior,Male,3.5-4.0,CS,High salary potential,Software Construction,,,,,,,
CS105,Graduate,Female,3.0-3.5,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field","Data Science, Generative AI",Java,9-12th grade,Python,Language is simplified,200-500,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Senior,Female,3.0-3.5,Computer Science,Flexible field,Front-end,C++,College,C++,Syntax,<50,Data Science,Hardware/Embedded Systems
CS105,Senior,Male,3.0-3.5,Biology,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field, Advice from family/friends",Object Oriented Programming,C++,9-12th grade,C++,Language is simplified,<50,Data Science,Hardware/Embedded Systems
CS105,Graduate,Male,3.5-4.0,Computer Science,"The topics are interesting, I am passionate about the field",Machine Learning,C++,9-12th grade,Python,Language is helpful with built-in functions,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Senior,Male,3.5-4.0,Computer Science w/ Business Applications,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends, Pressure from family/friends",AI,Java,9-12th grade,Python,Language is simplified,<50,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS141,Senior,Male,3.5-4.0,Mathematics,"The topics are interesting, I am passionate about the field",Theoretical Computer Science,C++,6-8th grade,Python,Quick to construct,<50,Theoretical Computer Science,Hardware/Embedded Systems
CS105,Junior,Male,3.0-3.5,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends, Pressure from family/friends",software development,Java,9-12th grade,C++,Syntax,<50,Game Development,Hardware/Embedded Systems
CS105,Senior,Male,3.0-3.5,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Machine Learning,C++,College,C++,Quick to construct,<50,Data Science,Game Development
"CS105, CS111, CS141",Senior,Male,3.0-3.5,computer science,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field","Algorithms and Data structures, Machine learning.",C++,College,Python,Language is simplified,200-500,Artificial Intelligence/Machine Learning,Game Development
CS105,Senior,Female,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand",Artificial Intelligence ,C#,College,C++,Language is simplified,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Junior,Male,3.0-3.5,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends",,C++,College,C++,For my class,100-200,Data Science,Hardware/Embedded Systems
CS105,Junior,Male,2.5-3.0,Data science ,"Job market is in high-demand, High salary potential, Stable future, Advice from family/friends, Pressure from family/friends",The salary ,Python,9-12th grade,C++,Quick to construct,200-500,Data Science,Data Science
"CS105, CS141",Junior,Male,3.0-3.5,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Micro controllers,C++,College,C++,I feel better than others ,<50,Hardware/Embedded Systems,Artificial Intelligence/Machine Learning
CS105,Senior,Male,2.5-3.0,Data Science,"The topics are interesting, High salary potential, Stable future, I am passionate about the field",Data Organization,C++,College,C++,Language is helpful with built-in functions,50-100,Data Science,Artificial Intelligence/Machine Learning
CS105,Junior,Male,3.0-3.5,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Machine Learning,Java,9-12th grade,C++,Syntax,<50,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Senior,Male,3.0-3.5,CSBA,"High salary potential, Stable future",AI,C++,College,Python,Language is simplified,100-200,Data Science,Hardware/Embedded Systems
CS105,Junior,Male,3.0-3.5,Computer Science ,"High salary potential, I am passionate about the field",Algorithms ,Javascript ,9-12th grade,C++,Language is helpful with built-in functions,200-500,"AI, SE",Hardware/Embedded Systems
CS105,Junior,Male,3.0-3.5,Data Science CNAS,"The topics are interesting, High salary potential, Stable future, I am passionate about the field",Data Analysis,C++,College,R,Classes I take use R the most,100-200,Data Science,Hardware/Embedded Systems
EE,Senior,Male,2.0-2.5,Telecommunications engineering,The topics are interesting,Machine learning,C#,6-8th grade,Python,Language is simplified,<50,Game Development,Hardware/Embedded Systems
,,,,,,,,,,,,,
"CS105, CS111",Junior,Female,3.5-4.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",,Python,College,Python,Language is simplified,<50,Data Science,Hardware/Embedded Systems
"CS105, CS111",Junior,Female,3.0-3.5,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",The coding aspect of Computer Science is fun for me,Python,9-12th grade,Python,Quick to construct,<50,Data Science,Data Science
"CS105, CS141",Junior,Male,3.5-4.0,Data Science,"High salary potential, Advice from family/friends",,Python,9-12th grade,C++,School,<50,Game Development,Hardware/Embedded Systems
CS105,Senior,Female,2.5-3.0,Computer Science,"High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Software ,Java,9-12th grade,C++,Language is helpful with built-in functions,50-100,Game Development,Hardware/Embedded Systems
CS141,Junior,Male,3.5-4.0,ENCS,"The topics are interesting, High salary potential, Stable future, I am passionate about the field",Problem Solving,C++,9-12th grade,Lua ,Familiarity and platform,500+,Game Development,Hardware/Embedded Systems
CS141,Sophomore,Female,3.5-4.0,CS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",idk,Python,9-12th grade,js,Language is helpful with built-in functions,200-500,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS141,Senior,Male,3.5-4.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Machine learning,Scheme,9-12th grade,R,Language is helpful with built-in functions,50-100,Data Science,Data structures and algorithms/software
CS105,Senior,Male,3.0-3.5,CSBA,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future",Algorithms,C++,9-12th grade,C++,Syntax,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
"CS105, CS111",Junior,Male,2.5-3.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential",Coding,C++,College,Python,Language is simplified,50-100,Data Science,Hardware/Embedded Systems
CS105,Junior,Male,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",machine learning,Javascript,1st-5th grade,C++,Language is helpful with built-in functions,50-100,Artificial Intelligence/Machine Learning,Data Science
CS111,Junior,Female,3.0-3.5,CSBA,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Operating Systems,C++,College,C++,Language is helpful with built-in functions,<50,Artificial Intelligence/Machine Learning,Game Development
CS105,Junior,Male,3.0-3.5,Data Science,Stable future,Not sure,C++,College,C++,Curriculum,<50,Data Science,Artificial Intelligence/Machine Learning
CS111,Sophomore,Male,3.5-4.0,Computer Science,"The topics are interesting, It was the only thing that interested me.",Unsure,Python,9-12th grade,C++,Language is the one used the most in classes,<50,"None at the moment, but AI/ML and Game Development interest me",I have a love-hate relationship with Discrete Mathematics
CS105,Junior,Male,2.5-3.0,Data Science,"The topics are interesting, High salary potential, Pressure from family/friends",Al,C++,College,C++,Syntax,<50,Data Science,Hardware/Embedded Systems
"CS105, CS141",Senior,Male,3.0-3.5,CSBA,"The topics are interesting, Job market is in high-demand",Big data,C++,College,C++,Syntax,<50,Data Science,Hardware/Embedded Systems
CS105,Senior,Male,,,,,,,,,,,
"CS111, CS141",Senior,Male,3.0-3.5,Materials Science and Engineering,My major was arranged to me by my home university.,Software engineering,Python,6-8th grade,C++,Mostly used,50-100,Game Development,Data Science
"CS105, CS111",Junior,Female,3.0-3.5,cs,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future",,C++,College,C++,only know this one,100-200,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Junior,Female,3.0-3.5,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends, Pressure from family/friends",Machine Learning/ Ai ,Python,9-12th grade,Python,Language is simplified,100-200,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Junior,Male,3.5-4.0,Computer science,"The topics are interesting, High salary potential, Stable future",Web development ,Java,9-12th grade,C++,Used to it,50-100,Artificial Intelligence/Machine Learning,Game Development
CS105,Senior,Male,3.0-3.5,Computer Science,"Job market is in high-demand, High salary potential, Stable future",Nothing,C++,9-12th grade,Python,Language is simplified,<50,Data Science,Data Science
CS111,Graduate,Male,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends, Pressure from family/friends",AI,C++,College,C++,Syntax,<50,Artificial Intelligence/Machine Learning,Networks
CS141,Junior,Male,3.5-4.0,Computer Engineering,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Programming,Java,6-8th grade,Javascript,Work,100-200,Artificial Intelligence/Machine Learning,Data Science
CS141,Senior,Male,3.5-4.0,Data Science,"The topics are interesting, I am passionate about the field, Advice from family/friends",Data Science,C++,College,R,Language is helpful with built-in functions,<50,Data Science,Hardware/Embedded Systems
CS141,Junior,Male,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",I don't know yet,Java,9-12th grade,C++,C++ is taught here,<50,Not sure,Not sure
CS141,Senior,Male,3.0-3.5,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Pressure from family/friends",Software Development ,Java,9-12th grade,C++,Quick to construct,50-100,Hardware/Embedded Systems,Data Science
CS111,Sophomore,Male,3.5-4.0,Computer Science,I am passionate about the field,Embedded Systems,Arduino,6-8th grade,Rust,Quick to construct,50-100,Hardware/Embedded Systems,Game Development
CS111,Sophomore,Female,3.5-4.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",,Java,9-12th grade,C++,the one im most comfortable with,50-100,Data Science,Hardware/Embedded Systems
CS105,Sophomore,Non-Binary,3.0-3.5,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends, Pressure from family/friends",,Python,9-12th grade,C++,Syntax,100-200,Hardware/Embedded Systems,Hardware/Embedded Systems
CS105,Senior,Male,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, I am passionate about the field",Full Stack Development,C++,College,C++,Syntax,<50,Full stack development,
CS141,Junior,Male,3.0-3.5,Data Science,"The topics are interesting, Job market is in high-demand, Stable future, I am passionate about the field",All,Java,9-12th grade,Python,Quick to construct,500+,Data Science,
CS105,Junior,Male,3.0-3.5,CS,"The topics are interesting, High salary potential",Web Development ,C++,College,C++,,<50,Web Development ,Hardware/Embedded Systems
CS111,Junior,Male,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Embedded Systems and Back-end Applications,Python,6-8th grade,Python,Quick to construct,<50,Artificial Intelligence/Machine Learning,Data Science
CS111,Junior,Male,3.0-3.5,Computer Science,Job market is in high-demand,Computer,C++,1st-5th grade,C++,Language is helpful with built-in functions,500+,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS141,Junior,Male,3.0-3.5,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Neural Networks,C++,College,C++,Syntax,100-200,Artificial Intelligence/Machine Learning,Math and Theory
"CS105, CS141",Senior,Male,3.0-3.5,Computer Engineering,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Embedded Systems,Python,9-12th grade,C++,Syntax,50-100,Hardware/Embedded Systems,WEB DEVELOPMENT
CS105,Senior,Male,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",AI,Java,College,Python,Syntax,100-200,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
