Class,class_standing,gender,gpa,major,major_reason,favorite_area,first_language,first_language_grade,most_used_language,most_used_language_reason,loc_per_week,preferred_field,least_favorite_subject
"CS105, CS111, CS141",Senior,Male,3.0-3.5,CS,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Algorithms,C++,College,Python,Language is simplified,200-500,Artificial Intelligence/Machine Learning,Game Development
CS105,Senior,Female,3.5-4.0,CS,"The topics are interesting, Job market is in high-demand",AI/ML,C#,College,C++,Language is simplified,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Junior,Male,3.0-3.5,DS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends",N/A,C++,College,C++,For my class,100-200,Data Science,Hardware/Embedded Systems
CS105,Junior,Male,2.5-3.0,DS,"Job market is in high-demand, High salary potential, Stable future, Advice from family/friends, Pressure from family/friends",Unsure,Python,9-12th grade,C++,Quick to construct,200-500,Data Science,Data Science
"CS105, CS141",Junior,Male,3.0-3.5,CS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Embedded Systems,C++,College,C++,I feel better than others,<50,Hardware/Embedded Systems,Artificial Intelligence/Machine Learning
CS105,Senior,Male,2.5-3.0,DS,"The topics are interesting, High salary potential, Stable future, I am passionate about the field",Data Science,C++,College,C++,Language is helpful with built-in functions,50-100,Data Science,Artificial Intelligence/Machine Learning
CS105,Junior,Male,3.0-3.5,DS,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",AI/ML,Java,9-12th grade,C++,Syntax,<50,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Senior,Male,3.0-3.5,CSBA,"High salary potential, Stable future",AI/ML,C++,College,Python,Language is simplified,100-200,Data Science,Hardware/Embedded Systems
CS105,Junior,Male,3.0-3.5,CS,"High salary potential, I am passionate about the field",Algorithms,Javascript,9-12th grade,C++,Language is helpful with built-in functions,200-500,"AI, SE",Hardware/Embedded Systems
CS105,Junior,Male,3.0-3.5,DS,"The topics are interesting, High salary potential, Stable future, I am passionate about the field",Data Science,C++,College,R,Classes I take use R the most,100-200,Data Science,Hardware/Embedded Systems
EE,Senior,Male,2.0-2.5,TELE_SYS,The topics are interesting,AI/ML,C#,6-8th grade,Python,Language is simplified,<50,Game Development,Hardware/Embedded Systems
"CS105, CS111",Junior,Female,3.5-4.0,DS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",N/A,Python,College,Python,Language is simplified,<50,Data Science,Hardware/Embedded Systems
"CS105, CS111",Junior,Female,3.0-3.5,DS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Software Development,Python,9-12th grade,Python,Quick to construct,<50,Data Science,Data Science
"CS105, CS141",Junior,Male,3.5-4.0,DS,"High salary potential, Advice from family/friends",N/A,Python,9-12th grade,C++,School,<50,Game Development,Hardware/Embedded Systems
CS105,Senior,Female,2.5-3.0,CS,"High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Software Development,Java,9-12th grade,C++,Language is helpful with built-in functions,50-100,Game Development,Hardware/Embedded Systems
CS141,Junior,Male,3.5-4.0,CS,"The topics are interesting, High salary potential, Stable future, I am passionate about the field",Problem Solving,C++,9-12th grade,Lua,Familiarity and platform,500+,Game Development,Hardware/Embedded Systems
CS141,Sophomore,Female,3.5-4.0,CS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Unsure,Python,9-12th grade,js,Language is helpful with built-in functions,200-500,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS141,Senior,Male,3.5-4.0,DS,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",AI/ML,Scheme,9-12th grade,R,Language is helpful with built-in functions,50-100,Data Science,Data structures and algorithms/software
CS105,Senior,Male,3.0-3.5,CSBA,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future",Algorithms,C++,9-12th grade,C++,Syntax,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
"CS105, CS111",Junior,Male,2.5-3.0,DS,"The topics are interesting, Job market is in high-demand, High salary potential",None,C++,College,Python,Language is simplified,50-100,Data Science,Hardware/Embedded Systems
CS105,Junior,Male,3.5-4.0,CS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",AI/ML,Javascript,1st-5th grade,C++,Language is helpful with built-in functions,50-100,Artificial Intelligence/Machine Learning,Data Science
CS111,Junior,Female,3.0-3.5,CSBA,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Operating Systems,C++,College,C++,Language is helpful with built-in functions,<50,Artificial Intelligence/Machine Learning,Game Development
CS105,Junior,Male,3.0-3.5,DS,Stable future,Unsure,C++,College,C++,Curriculum,<50,Data Science,Artificial Intelligence/Machine Learning
CS111,Sophomore,Male,3.5-4.0,CS,"The topics are interesting, It was the only thing that interested me.",Unsure,Python,9-12th grade,C++,Language is the one used the most in classes,<50,"None at the moment, but AI/ML and Game Development interest me",I have a love-hate relationship with Discrete Mathematics
CS105,Junior,Male,2.5-3.0,DS,"The topics are interesting, High salary potential, Pressure from family/friends",AI/ML,C++,College,C++,Syntax,<50,Data Science,Hardware/Embedded Systems
"CS105, CS141",Senior,Male,3.0-3.5,CSBA,"The topics are interesting, Job market is in high-demand",Data Science,C++,College,C++,Syntax,<50,Data Science,Hardware/Embedded Systems
"CS111, CS141",Senior,Male,3.0-3.5,N/A,My major was arranged to me by my home university.,Software Development,Python,6-8th grade,C++,Mostly used,50-100,Game Development,Data Science
"CS105, CS111",Junior,Female,3.0-3.5,CS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future",N/A,C++,College,C++,only know this one,100-200,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Junior,Female,3.0-3.5,DS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends, Pressure from family/friends",AI/ML,Python,9-12th grade,Python,Language is simplified,100-200,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Junior,Male,3.5-4.0,CS,"The topics are interesting, High salary potential, Stable future",Web Development,Java,9-12th grade,C++,Used to it,50-100,Artificial Intelligence/Machine Learning,Game Development
CS105,Senior,Male,3.0-3.5,CS,"Job market is in high-demand, High salary potential, Stable future",None,C++,9-12th grade,Python,Language is simplified,<50,Data Science,Data Science
CS111,Graduate,Male,3.5-4.0,CS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, Advice from family/friends, Pressure from family/friends",AI/ML,C++,College,C++,Syntax,<50,Artificial Intelligence/Machine Learning,Networks
CS141,Junior,Male,3.5-4.0,CSE,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Programming,Java,6-8th grade,Javascript,Work,100-200,Artificial Intelligence/Machine Learning,Data Science
CS141,Senior,Male,3.5-4.0,DS,"The topics are interesting, I am passionate about the field, Advice from family/friends",Data Science,C++,College,R,Language is helpful with built-in functions,<50,Data Science,Hardware/Embedded Systems
CS141,Junior,Male,3.5-4.0,CS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Unsure,Java,9-12th grade,C++,C++ is taught here,<50,Not sure,Not sure
CS141,Senior,Male,3.0-3.5,CS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Pressure from family/friends",Software Development,Java,9-12th grade,C++,Quick to construct,50-100,Hardware/Embedded Systems,Data Science
CS111,Sophomore,Male,3.5-4.0,CS,I am passionate about the field,Embedded Systems,Arduino,6-8th grade,Rust,Quick to construct,50-100,Hardware/Embedded Systems,Game Development
CS111,Sophomore,Female,3.5-4.0,DS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",N/A,Java,9-12th grade,C++,the one im most comfortable with,50-100,Data Science,Hardware/Embedded Systems
CS105,Sophomore,Non-Binary,3.0-3.5,CS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends, Pressure from family/friends",N/A,Python,9-12th grade,C++,Syntax,100-200,Hardware/Embedded Systems,Hardware/Embedded Systems
CS105,Senior,Male,3.5-4.0,CS,"The topics are interesting, Job market is in high-demand, I am passionate about the field",Web Development,C++,College,C++,Syntax,<50,Full stack development,
CS141,Junior,Male,3.0-3.5,DS,"The topics are interesting, Job market is in high-demand, Stable future, I am passionate about the field",None,Java,9-12th grade,Python,Quick to construct,500+,Data Science,
CS105,Junior,Male,3.0-3.5,CS,"The topics are interesting, High salary potential",Web Development,C++,College,C++,,<50,Web Development,Hardware/Embedded Systems
CS111,Junior,Male,3.5-4.0,CS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Embedded Systems,Python,6-8th grade,Python,Quick to construct,<50,Artificial Intelligence/Machine Learning,Data Science
CS111,Junior,Male,3.0-3.5,CS,Job market is in high-demand,None,C++,1st-5th grade,C++,Language is helpful with built-in functions,500+,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS141,Junior,Male,3.0-3.5,DS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",AI/ML,C++,College,C++,Syntax,100-200,Artificial Intelligence/Machine Learning,Math and Theory
"CS105, CS141",Senior,Male,3.0-3.5,CSE,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Embedded Systems,Python,9-12th grade,C++,Syntax,50-100,Hardware/Embedded Systems,WEB DEVELOPMENT
CS105,Senior,Male,3.5-4.0,CS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",AI/ML,Java,College,Python,Syntax,100-200,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
